"나이","학력수준","소득","당좌예금","저축예금","뮤추얼펀드","주식","총금융자산","보유자동차의가격","주택담보대출액","기타금융자산","총부채","총순자산"
54,14,66814.194577,6000,2000,0,500,39600,6400,84000,0,40200,170800
40,12,42144.338118,400,0,0,0,5400,21000,8000,0,58640,17760
35,14,25697.767145,1000,160,0,0,15460,2000,12000,0,19610,9850
55,12,35976.874003,2600,19100,0,0,54700,18250,90000,0,8000,284950
40,12,39060.606061,1000,8300,0,3500,12800,9100,47000,0,21000,268900
82,12,13362.838915,1000,0,50000,0,70500,7500,175000,0,0,253000
26,16,61674.641148,3000,0,0,0,16000,16000,0,0,31000,1000
50,14,53451.355662,3100,0,0,0,12200,34000,22000,0,60600,45600
71,12,16446.570973,1000,0,0,0,13000,1800,15000,0,0,29800
70,6,9867.9425837,50,0,0,0,50,1300,0,0,9800,-450
52,12,35976.874003,1700,3000,2000,0,12700,4200,8000,0,92000,24900
53,11,7195.3748006,0,0,0,0,0,3300,15000,0,3400,14900
27,16,78121.212121,8500,8000,1100,1500,64100,31000,0,0,36200,58900
27,12,28781.499203,0,0,4000,0,4000,9400,0,0,1500,11900
69,12,12334.92823,500,1600,0,0,9050,8800,75000,0,0,92850
55,17,459476.07656,0,0,0,0,1238000,69000,1600000,0,0,4032000
42,14,54479.266348,3200,55,0,0,4015,38000,7000,0,147400,-7385
73,12,43172.248804,11000,2000,1e+05,0,813000,15000,130000,0,0,975000
76,12,69897.926635,296440,0,0,0,393440,14400,315000,0,0,722840
43,12,58590.909091,750,1700,13000,0,48750,15400,20000,0,230000,194150
48,11,52423.444976,0,1200,17600,0,20300,37800,52000,0,18810,91290
57,12,25697.767145,1600,900,0,0,111500,11000,88000,0,32340,200160
44,16,51395.53429,590,1780,0,14000,120520,26900,87500,0,17300,230120
44,15,87372.408293,300,32700,0,0,93000,7700,59000,0,66000,159700
59,13,59618.819777,1500,0,0,75000,313500,7300,5e+05,0,0,1079800
47,14,25697.767145,17320,730,0,0,18650,30300,64000,0,125900,383050
25,14,26725.677831,800,1500,0,0,2300,0,0,0,600,1700
28,16,71953.748006,4020,11830,0,0,16550,15200,111000,0,142000,129750
74,12,48311.802233,3500,0,0,0,60100,9600,333000,0,0,402700
62,11,6475.8373206,0,250,0,0,250,5800,0,0,840,5210
23,12,28781.499203,420,340,0,0,760,4100,0,0,30,4830
40,14,71953.748006,20800,0,0,0,162700,3700,67000,800,43300,223900
44,13,3700.4784689,350,1000,0,0,1350,4800,6000,0,0,12150
65,11,26725.677831,7000,6000,7500,22000,167500,9300,75000,0,0,251800
35,17,54479.266348,1200,9310,0,0,122710,29000,110000,0,159500,242210
40,13,66814.194577,0,380,0,0,19880,13500,0,0,4400,28980
33,11,28781.499203,500,0,0,0,135700,7900,0,0,780,142820
21,11,513.9553429,20,20,0,0,40,0,0,0,400,-360
63,13,41116.427432,180,0,0,0,2480,8600,40000,0,5100,45980
52,17,57562.998405,1000,0,0,0,92100,22000,43000,0,92000,148900
24,14,28781.499203,0,0,0,0,0,0,0,0,1300,-1300
29,14,9251.1961722,2000,20000,0,0,25000,0,0,0,0,525000
46,14,92511.961722,2500,1500,88000,0,287000,14700,34000,0,137100,324600
38,12,11307.017544,50,40,0,0,90,0,0,0,5450,-5360
34,13,7400.9569378,0,0,0,0,0,0,0,0,6000,-6000
47,12,30837.320574,3500,0,0,0,25100,9900,44000,0,16600,73400
49,14,37004.784689,3200,2300,0,0,25600,4200,5000,0,2100,32700
83,12,25697.767145,5100,1800,0,0,80900,4700,0,0,300,85300
50,16,25697.767145,1500,350,0,0,7350,11800,9000,0,84770,26380
68,16,104846.88995,14600,7100,0,35000,67650,38900,108000,0,181400,168850
83,14,58590.909091,0,0,330000,275000,640000,22000,1e+05,0,0,836000
28,17,61674.641148,6000,0,20000,0,54700,4600,32000,0,98000,91300
45,12,20558.213716,1500,530,0,0,4830,2800,0,0,650,6980
57,11,33921.052632,600,3000,0,0,3600,0,0,0,900,2700
50,12,169605.26316,3500,0,0,0,72800,28800,15000,0,78100,108500
49,14,37004.784689,3200,2300,0,0,25600,4200,5000,0,2100,32700
40,14,153158.69219,2000,0,6000,0,21000,38000,19000,0,16000,709000
29,13,15418.660287,3500,3000,0,0,12800,30000,18000,0,73000,39800
59,15,15418.660287,2000,1850,2e+05,0,360350,11000,60000,0,0,493850
