나이대,번호,소득,금융자산,부채,순자산
20대,1,61674.641148,16000,31000,1000
20대,2,78121.212121,64100,36200,58900
20대,3,28781.499203,4000,1500,11900
20대,4,26725.677831,2300,600,1700
20대,5,71953.748006,16550,142000,129750
20대,6,28781.499203,760,30,4830
20대,7,513.9553429,40,400,-360
20대,8,28781.499203,0,1300,-1300
20대,9,9251.1961722,25000,0,525000
20대,10,61674.641148,54700,98000,91300
20대,11,15418.660287,12800,73000,39800
20대,12,15418.660287,4750,13400,-2350
20대,13,75037.480064,32450,40000,225450
20대,14,28781.499203,570,1200,2070
20대,15,8223.2854864,0,0,0
20대,16,37004.784689,9200,62000,19500
20대,17,24669.856459,2000,0,5800
20대,18,40088.516746,7160,13480,7680
20대,19,4625.5980861,0,0,0
20대,20,37004.784689,0,20000,-6800
30대,1,25697.767145,15460,19610,9850
30대,2,54479.266348,122710,159500,242210
30대,3,28781.499203,135700,780,142820
30대,4,11307.017544,90,5450,-5360
30대,5,7400.9569378,0,6000,-6000
30대,6,47283.891547,92000,8800,100900
30대,7,14390.749601,660,0,660
30대,8,63730.46252,82800,115000,199200
30대,9,52423.444976,3300,79800,3500
40대,1,42144.338118,5400,58640,17760
40대,2,39060.606061,12800,21000,268900
40대,3,54479.266348,4015,147400,-7385
40대,4,58590.909091,48750,230000,194150
40대,5,52423.444976,20300,18810,91290
40대,6,51395.53429,120520,17300,230120
40대,7,87372.408293,93000,66000,159700
40대,8,25697.767145,18650,125900,383050
40대,9,71953.748006,162700,43300,223900
40대,10,3700.4784689,1350,0,12150
40대,11,66814.194577,19880,4400,28980
40대,12,92511.961722,287000,137100,324600
40대,13,30837.320574,25100,16600,73400
40대,14,37004.784689,25600,2100,32700
40대,15,20558.213716,4830,650,6980
40대,16,37004.784689,25600,2100,32700
40대,17,153158.69219,21000,16000,709000
40대,18,53451.355662,57550,60200,200350
40대,19,925119.61722,1189000,340000,2031000
40대,20,144935.4067,274000,180600,404900
40대,21,123349.2823,137000,162900,444100
40대,22,41116.427432,37000,21200,155800
40대,23,12334.92823,300,0,4100
40대,24,8223.2854864,42400,72550,164850
40대,25,177828.54864,379000,254400,794600
40대,26,35976.874003,6650,55990,32460
40대,27,46255.980861,6000,52500,30600
40대,28,56535.087719,61005,93040,90965
50대,1,66814.194577,39600,40200,170800
50대,2,35976.874003,54700,8000,284950
50대,3,53451.355662,12200,60600,45600
50대,4,35976.874003,12700,92000,24900
50대,5,7195.3748006,0,3400,14900
50대,6,459476.07656,1238000,0,4032000
50대,7,25697.767145,111500,32340,200160
50대,8,59618.819777,313500,0,1079800
50대,9,57562.998405,92100,92000,148900
50대,10,25697.767145,7350,84770,26380
50대,11,33921.052632,3600,900,2700
50대,12,169605.26316,72800,78100,108500
50대,13,15418.660287,360350,0,493850
50대,14,38032.695375,9190,139900,46990
50대,15,81204.944179,36000,93500,301100
50대,16,12334.92823,2700,108000,23700
50대,17,37004.784689,30000,11030,196070
50대,18,113070.17544,329500,59000,509300
50대,19,81204.944179,1325001,188000,2087001
50대,20,87372.408293,151530,0,299330
50대,21,50367.623604,49650,18000,114050
60대,1,12334.92823,9050,0,92850
60대,2,6475.8373206,250,840,5210
60대,3,26725.677831,167500,0,251800
60대,4,41116.427432,2480,5100,45980
60대,5,104846.88995,67650,181400,168850
60대,6,12334.92823,1000,20900,77120
60대,7,44200.15949,226800,0,338800
60대,8,27753.588517,351300,0,563800
60대,9,66814.194577,31700,300,38200
70대,1,16446.570973,13000,0,29800
70대,2,9867.9425837,50,9800,-450
70대,3,43172.248804,813000,0,975000
70대,4,69897.926635,393440,0,722840
70대,5,48311.802233,60100,0,402700
70대,6,12334.92823,158090,0,223890
70대,7,34948.963317,172600,0,243700
70대,8,11307.017544,2960,940,42920
70대,9,25697.767145,317500,0,540100
80대,1,13362.838915,70500,0,253000
80대,2,25697.767145,80900,300,85300
80대,3,58590.909091,640000,0,836000
80대,4,14390.749601,49600,20,52980
전체 평균,,58114.986443436,116729.41,44590.7,251387.41
20대 평균,,34126.63476873,12619.0,26705.5,55693.5
30대 평균,,33943.89509131111,50302.22222222222,43882.22222222222,76420.0
40대 평균,,91065.54454311785,110228.57142857143,78595.71428571429,254847.14285714287
50대 평균,,73666.9324831238,202474.80952380953,52844.76190476191,486237.1904761905
60대 평균,,38066.959064177776,95303.33333333333,23171.11111111111,175845.55555555556
70대 평균,,30220.574162744444,214526.66666666666,1193.3333333333333,353388.8888888889
80대 평균,,28010.566188,210250.0,80.0,306820.0
