,principle_1,principle_2
Apps,0.27589139647738714,0.3180420408758452
Accept,0.2489861938442592,0.3428626074697222
Enroll,0.21129277783825956,0.38023909294716
Top10perc,0.33552953199748625,-0.099101934949007
Top25perc,0.3299539397845548,-0.058077922753496325
F.Undergrad,0.18547237484499063,0.4001344231778168
P.Undergrad,-0.04454429446640386,0.34655511254849375
Outstate,0.2806386601198164,-0.2549877126665313
Room.Board,0.2368144819715116,-0.1332411409186774
Books,0.06769747590915684,0.05530873729109442
Personal,-0.03680659047252857,0.211571556507778
PhD,0.31823304119217116,0.061442599380423055
Terminal,0.31586965613253454,0.04741950317363103
S.F.Ratio,-0.15087205057615555,0.28352481557028675
perc.alumni,0.1884317133408041,-0.26466739168229303
Expend,0.31628680802860587,-0.18016765524617087
Grad.Rate,0.24347965073481487,-0.15426481391767474
