Postal,Beer,Wine,Clusters
AL,1.2,0.22,1
AK,1.31,0.54,2
AZ,1.19,0.38,8
AR,1.07,0.17,1
CA,1.05,0.55,4
CO,1.22,0.46,8
CT,0.89,0.59,4
DE,1.31,0.57,2
FL,1.26,1.0,6
GA,1.21,0.48,8
HI,1.08,0.25,1
ID,1.3,0.53,2
IL,1.05,0.92,6
IN,1.22,0.39,8
IA,1.09,0.25,1
KS,1.42,0.18,3
KY,1.18,0.14,1
LA,1.11,0.18,1
ME,1.5,0.28,3
MD,1.24,0.42,8
MA,0.97,0.37,4
MI,1.02,0.61,4
MN,1.1,0.31,8
MS,1.19,0.37,8
MO,1.41,0.11,3
MT,1.3,0.3,8
NE,1.66,0.45,7
NV,1.46,0.2,3
NH,1.57,0.58,7
NJ,1.72,0.84,0
NM,0.92,0.57,4
NY,1.37,0.32,3
NC,0.91,0.46,4
ND,1.1,0.34,8
OH,1.63,0.25,3
OK,1.28,0.26,1
OR,1.18,0.18,1
PA,1.28,0.49,2
RI,1.35,0.23,3
SC,1.1,0.53,4
SD,1.36,0.24,3
TN,1.53,0.22,3
TX,1.05,0.21,1
UT,1.42,0.28,3
VT,0.7,0.17,5
VA,1.36,0.63,2
WA,1.11,0.43,8
WV,1.09,0.51,4
WI,1.24,0.1,1
WY,1.49,0.31,3
WY,1.45,0.22,3
