"행정구역별(시군구)","성별","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별","연령별",내국인(6세이상),초등학교-계,초등학교-졸업,초등학교-재학,초등학교-중퇴,중학교-계,중학교-졸업,중학교-재학,중학교-중퇴,고등학교-계,고등학교-졸업,고등학교-재학,고등학교-중퇴,대학(4년제 미만)-계,대학-졸업,대학-재학,대학-수료,대학-휴학,대학-중퇴,대학교(4년제 이상)-계,대학교-졸업,대학교-재학,대학교-수료,대학교-휴학,대학교-중퇴,대학원(석사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,대학원(박사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,받지않았음     (미취학 포함)
"전국","계","합계",46943737,6384848,3305723,2728572,350553,4926726,3095774,1591645,239307,14436616,12296663,1829615,310338,5864950,4588438,508187,79730,271203,417392,11663316,8674853,1793746,84508,595306,514903,1595998,1180967,209462,161143,44426,430033,279195,66422,77020,7396,1641250
"동부","계","합계",38388461,4688974,2176460,2284204,228310,3848224,2322277,1338968,186979,11802844,10027528,1524663,250653,4933391,3863851,424705,68033,226537,350265,10287264,7697603,1567786,74630,506975,440270,1441899,1069314,188981,143582,40022,396937,259217,60819,70149,6752,988928
"읍부","계","합계",4182866,699032,376867,277952,44213,485756,311732,150521,23503,1375672,1167572,178984,29116,536027,421542,45322,6408,24588,38167,778009,557219,124838,5401,48731,41820,84314,60682,11575,9493,2564,17182,10102,3177,3569,334,206874
"면부","계","합계",4372410,996842,752396,166416,78030,592746,461765,102156,28825,1258100,1101563,125968,30569,395532,303045,38160,5289,20078,28960,598043,420031,101122,4477,39600,32813,69785,50971,8906,8068,1840,15914,9876,2426,3302,310,445448
"서울특별시","계","합계",9088251,962222,466717,447346,48159,816155,508613,265390,42152,2528037,2168893,305137,54007,1042682,812530,88387,16945,45867,78953,2904857,2268469,387551,23876,113873,111088,502523,372860,67493,47977,14193,147793,96853,23187,25383,2370,183982
"종로구","계","합계",140506,14794,8422,5581,791,13587,9147,3849,591,36172,29908,5531,733,12597,9847,1118,284,552,796,45975,33173,8633,493,2008,1668,10014,7081,1806,904,223,4199,2791,696,663,49,3168
"중구","계","합계",112574,12078,7266,4047,765,11633,8728,2324,581,33736,29639,3380,717,11721,9296,921,176,512,816,33294,25458,5110,286,1302,1138,5416,3923,833,529,131,1792,1200,309,253,30,2904
"용산구","계","합계",201237,20669,10797,8848,1024,16563,10697,4966,900,51689,44619,5868,1202,19990,15357,1774,301,846,1712,67899,54795,7551,613,2405,2535,14975,11368,1533,1630,444,5049,3411,570,964,104,4403
"성동구","계","합계",270022,29076,15473,12046,1557,25944,17794,6721,1429,73496,64154,7625,1717,30527,23442,2769,531,1450,2335,84633,65664,12024,691,3381,2873,16040,11344,2583,1703,410,4594,2723,894,914,63,5712
"광진구","계","합계",335188,33208,16799,14830,1579,29627,19111,8876,1640,96799,83799,10939,2061,40204,31352,3468,507,1682,3195,108038,80356,18263,901,4354,4164,17139,12130,3069,1571,369,4246,2832,711,656,47,5927
"동대문구","계","합계",333788,38846,22431,14091,2324,34940,24679,8427,1834,101578,89862,9524,2192,36686,28684,3249,666,1426,2661,95994,66525,20306,954,4556,3653,13827,8919,3388,1152,368,3790,2125,894,714,57,8127
"중랑구","계","합계",377939,45874,26294,16667,2913,46059,33487,10005,2567,137019,121888,11908,3223,48389,37819,3866,604,2188,3912,80477,60825,10542,636,4464,4010,9112,6323,1528,1016,245,2139,1191,513,415,20,8870
"성북구","계","합계",423352,50672,25593,22472,2607,41667,27398,12145,2124,117485,101875,13183,2427,45706,35551,4121,697,2094,3243,130604,93683,25584,1100,4914,5323,21320,14734,3788,2188,610,6593,3956,1275,1281,81,9305
"강북구","계","합계",301584,40362,24405,13279,2678,36121,25741,7819,2561,105155,92601,9609,2945,37877,29157,3244,445,1941,3090,64404,48007,8698,461,3283,3955,7606,5383,1168,770,285,2030,1276,300,407,47,8029
"도봉구","계","합계",321886,36588,19270,15560,1758,32439,20883,9827,1729,108645,95048,11290,2307,39964,31054,3482,614,1791,3023,85142,64737,11776,532,3926,4171,9806,7239,1363,978,226,2263,1432,328,442,61,7039
"노원구","계","합계",531568,61211,27368,30801,3042,51280,28672,20282,2326,151284,125118,23326,2840,63431,49812,5234,1285,2721,4379,165441,122916,27783,1210,7369,6163,22282,16295,2843,2433,711,4785,2906,797,1004,78,11854
"은평구","계","합계",448553,51300,26031,22791,2478,42750,26522,13740,2488,145264,126289,15685,3290,55549,43091,4723,808,2377,4550,122412,97046,13008,1010,5058,6290,16802,12731,1899,1666,506,3727,2439,519,699,70,10749
"서대문구","계","합계",284679,30681,16595,12260,1826,26191,16359,8150,1682,76627,65990,8863,1774,30771,23655,3108,462,1367,2179,93434,66987,18491,596,3732,3628,16091,10778,3520,1346,447,4647,2602,1155,837,53,6237
"마포구","계","합계",350468,37342,17797,17704,1841,26777,16035,9107,1635,85432,73992,9678,1762,37464,29310,2891,640,1563,3060,126645,100033,16549,976,4651,4436,23651,17093,3530,2303,725,6524,4207,1090,1112,115,6633
"양천구","계","합계",438004,49281,19702,27474,2105,41084,21786,17459,1839,120348,98365,19781,2202,49983,38903,4583,515,2588,3394,139202,110510,16857,1050,5834,4951,23644,18340,2410,2226,668,6064,3995,978,980,111,8398
