"행정구역별(시군구)","연령별","항목","단위","2015 년",
"전국","합계","내국인(15세이상)-계","","42724414",
"전국","합계","내국인-미혼","","13376237",
"전국","합계","내국인-배우자있음","","23899304",
"전국","합계","내국인-사별","","3266097",
"전국","합계","내국인-이혼","","2182776",
"전국","15~19세","내국인(15세이상)-계","","3172793",
"전국","15~19세","내국인-미혼","","3166654",
"전국","15~19세","내국인-배우자있음","","3875",
"전국","15~19세","내국인-사별","","2067",
"전국","15~19세","내국인-이혼","","197",
"전국","20~24세","내국인(15세이상)-계","","3380576",
"전국","20~24세","내국인-미혼","","3309507",
"전국","20~24세","내국인-배우자있음","","63868",
"전국","20~24세","내국인-사별","","4436",
"전국","20~24세","내국인-이혼","","2765",
"전국","25~29세","내국인(15세이상)-계","","3024909",
"전국","25~29세","내국인-미혼","","2539393",
"전국","25~29세","내국인-배우자있음","","472070",
"전국","25~29세","내국인-사별","","1883",
"전국","25~29세","내국인-이혼","","11563",
"전국","30~34세","내국인(15세이상)-계","","3607875",
"전국","30~34세","내국인-미혼","","1693003",
"전국","30~34세","내국인-배우자있음","","1861164",
"전국","30~34세","내국인-사별","","3830",
"전국","30~34세","내국인-이혼","","49878",
"전국","35~39세","내국인(15세이상)-계","","3774150",
"전국","35~39세","내국인-미혼","","988968",
"전국","35~39세","내국인-배우자있음","","2648947",
"전국","35~39세","내국인-사별","","10698",
"전국","35~39세","내국인-이혼","","125537",
"전국","40~44세","내국인(15세이상)-계","","4207927",
"전국","40~44세","내국인-미혼","","715644",
"전국","40~44세","내국인-배우자있음","","3181651",
"전국","40~44세","내국인-사별","","31186",
"전국","40~44세","내국인-이혼","","279446",
"전국","45~49세","내국인(15세이상)-계","","4259407",
"전국","45~49세","내국인-미혼","","433096",
"전국","45~49세","내국인-배우자있음","","3338988",
"전국","45~49세","내국인-사별","","74100",
"전국","45~49세","내국인-이혼","","413223",
"전국","50~54세","내국인(15세이상)-계","","4139154",
"전국","50~54세","내국인-미혼","","241950",
"전국","50~54세","내국인-배우자있음","","3301496",
"전국","50~54세","내국인-사별","","147903",
"전국","50~54세","내국인-이혼","","447805",
"전국","55~59세","내국인(15세이상)-계","","3859610",
"전국","55~59세","내국인-미혼","","146014",
"전국","55~59세","내국인-배우자있음","","3067568",
"전국","55~59세","내국인-사별","","256810",
"전국","55~59세","내국인-이혼","","389218",
"전국","60~64세","내국인(15세이상)-계","","2753215",
"전국","60~64세","내국인-미혼","","65800",
"전국","60~64세","내국인-배우자있음","","2142503",
"전국","60~64세","내국인-사별","","324133",
"전국","60~64세","내국인-이혼","","220779",
"전국","65~69세","내국인(15세이상)-계","","2107985",
"전국","65~69세","내국인-미혼","","33068",
"전국","65~69세","내국인-배우자있음","","1537547",
"전국","65~69세","내국인-사별","","410157",
"전국","65~69세","내국인-이혼","","127213",
"전국","70~74세","내국인(15세이상)-계","","1758979",
"전국","70~74세","내국인-미혼","","18961",
"전국","70~74세","내국인-배우자있음","","1136075",
"전국","70~74세","내국인-사별","","535573",
"전국","70~74세","내국인-이혼","","68370",
"전국","75~79세","내국인(15세이상)-계","","1350216",
"전국","75~79세","내국인-미혼","","11043",
"전국","75~79세","내국인-배우자있음","","723347",
"전국","75~79세","내국인-사별","","584784",
"전국","75~79세","내국인-이혼","","31042",
"전국","80~84세","내국인(15세이상)-계","","805573",
"전국","80~84세","내국인-미혼","","6445",
"전국","80~84세","내국인-배우자있음","","310360",
"전국","80~84세","내국인-사별","","477808",
"전국","80~84세","내국인-이혼","","10960",
"전국","85세이상","내국인(15세이상)-계","","522045",
"전국","85세이상","내국인-미혼","","6691",
"전국","85세이상","내국인-배우자있음","","109845",
"전국","85세이상","내국인-사별","","400729",
"전국","85세이상","내국인-이혼","","4780",
"동부","합계","내국인(15세이상)-계","","34851752",
"동부","합계","내국인-미혼","","11370181",
"동부","합계","내국인-배우자있음","","19340477",
"동부","합계","내국인-사별","","2302371",
"동부","합계","내국인-이혼","","1838723",
"동부","15~19세","내국인(15세이상)-계","","2662359",
"동부","15~19세","내국인-미혼","","2658651",
"동부","15~19세","내국인-배우자있음","","2583",
"동부","15~19세","내국인-사별","","1023",
"동부","15~19세","내국인-이혼","","102",
"동부","20~24세","내국인(15세이상)-계","","2880196",
"동부","20~24세","내국인-미혼","","2827993",
"동부","20~24세","내국인-배우자있음","","47959",
"동부","20~24세","내국인-사별","","2111",
"동부","20~24세","내국인-이혼","","2133",
"동부","25~29세","내국인(15세이상)-계","","2603078",
"동부","25~29세","내국인-미혼","","2209509",
"동부","25~29세","내국인-배우자있음","","383375",
"동부","25~29세","내국인-사별","","1022",
"동부","25~29세","내국인-이혼","","9172",
"동부","30~34세","내국인(15세이상)-계","","3090377",
"동부","30~34세","내국인-미혼","","1472087",
"동부","30~34세","내국인-배우자있음","","1574594",
"동부","30~34세","내국인-사별","","2692",
"동부","30~34세","내국인-이혼","","41004",
"동부","35~39세","내국인(15세이상)-계","","3203464",
"동부","35~39세","내국인-미혼","","844796",
"동부","35~39세","내국인-배우자있음","","2246271",
"동부","35~39세","내국인-사별","","8161",
"동부","35~39세","내국인-이혼","","104236",
"동부","40~44세","내국인(15세이상)-계","","3559239",
"동부","40~44세","내국인-미혼","","597759",
"동부","40~44세","내국인-배우자있음","","2701084",
"동부","40~44세","내국인-사별","","24714",
"동부","40~44세","내국인-이혼","","235682",
"동부","45~49세","내국인(15세이상)-계","","3576932",
"동부","45~49세","내국인-미혼","","350760",
"동부","45~49세","내국인-배우자있음","","2814131",
"동부","45~49세","내국인-사별","","60476",
"동부","45~49세","내국인-이혼","","351565",
"동부","50~54세","내국인(15세이상)-계","","3402390",
"동부","50~54세","내국인-미혼","","187816",
"동부","50~54세","내국인-배우자있음","","2716551",
"동부","50~54세","내국인-사별","","119390",
"동부","50~54세","내국인-이혼","","378633",
"동부","55~59세","내국인(15세이상)-계","","3094163",
"동부","55~59세","내국인-미혼","","112741",
"동부","55~59세","내국인-배우자있음","","2450985",
"동부","55~59세","내국인-사별","","202624",
"동부","55~59세","내국인-이혼","","327813",
"동부","60~64세","내국인(15세이상)-계","","2150177",
"동부","60~64세","내국인-미혼","","50979",
"동부","60~64세","내국인-배우자있음","","1664237",
"동부","60~64세","내국인-사별","","249405",
"동부","60~64세","내국인-이혼","","185556",
"동부","65~69세","내국인(15세이상)-계","","1601625",
"동부","65~69세","내국인-미혼","","25144",
"동부","65~69세","내국인-배우자있음","","1161955",
"동부","65~69세","내국인-사별","","307417",
"동부","65~69세","내국인-이혼","","107109",
"동부","70~74세","내국인(15세이상)-계","","1263883",
"동부","70~74세","내국인-미혼","","14415",
"동부","70~74세","내국인-배우자있음","","817444",
"동부","70~74세","내국인-사별","","374780",
"동부","70~74세","내국인-이혼","","57244",
"동부","75~79세","내국인(15세이상)-계","","907511",
"동부","75~79세","내국인-미혼","","8242",
"동부","75~79세","내국인-배우자있음","","488041",
"동부","75~79세","내국인-사별","","385513",
"동부","75~79세","내국인-이혼","","25715",
"동부","80~84세","내국인(15세이상)-계","","519368",
"동부","80~84세","내국인-미혼","","4651",
"동부","80~84세","내국인-배우자있음","","200734",
"동부","80~84세","내국인-사별","","305014",
"동부","80~84세","내국인-이혼","","8969",
"동부","85세이상","내국인(15세이상)-계","","336990",
"동부","85세이상","내국인-미혼","","4638",
"동부","85세이상","내국인-배우자있음","","70533",
"동부","85세이상","내국인-사별","","258029",
