,PC1,PC2
sex_ratio,-0.0689873916760492,-0.2502277520490124
detached,-0.27581069349499304,0.24989035705559942
apt,0.1747035806105529,-0.39132850340011627
town,-0.07276078911615336,0.13454839931202606
multi,0.2010497743581537,0.18371209156017276
commercial,-0.20774366829286633,0.22514815603587887
other,0.041751915525408856,0.23395606985815082
middle_grad,-0.2854698681193379,0.18338403520805804
high_grad,0.15837547005010888,-0.1951387421663508
college_grad,0.26798301697419247,-0.13352631347563346
graduate,0.1906371327416154,-0.04447877828700417
water_sup,0.21333186107044536,-0.197278588592554
chlorine,-0.1523684285239092,-0.16767938200029517
area_per_capita,-0.2569519425786834,-0.04272662584394356
green_per_capita,-0.2438034329419394,-0.19448974460402038
marriage_rate,-0.13442264931912168,-0.25918535515144014
song_old,0.14939810478967758,0.3304328997843659
song_weak,-0.2594236332558406,-0.08201181354494175
bae_old,0.05958571845698164,0.30883079341978725
bae_weak,-0.20337868632982567,-0.25776794748413623
gup_old,-0.2536618484768133,-0.0613967671731768
gup_weak,-0.2156821627296584,-0.10769393636798544
flow_rate,0.26634162917771287,0.05220258998429583
recovery_rate,0.23388795023715403,-0.05758917857546972
