기간	대분류	분류	수돗물을정수하여마신다	수돗물을끓여서마신다	먹는샘물을사서마신다	약수지하수를마신다	수돗물을그냥마신다	기타
2016	서울시	서울시	46.3	26.6	24.9	1.5	0.6	0
2016	성별	남자	50.7	25	22	1.5	0.7	0
2016	성별	여자	31.7	31.8	34.3	1.5	0.5	0.1
2016	연령별	20대 이하	26.9	12.4	59.1	1.3	0.3	-
2016	연령별	30대	51.3	15.2	32.1	1.1	0.3	0.1
2016	연령별	40대	57.2	22.8	18.5	1.1	0.4	0
2016	연령별	50대	51.7	30.2	15.3	2	0.8	0
2016	연령별	60대 이상	33.2	42.5	21	1.9	1.2	0.1
2016	학력별	중졸 이하	34.1	41	22.3	1.6	0.9	-
2016	학력별	고졸 이하	45.7	32.4	19.3	1.7	0.8	0.1
2016	학력별	대졸 이하	48.3	21.6	28	1.4	0.5	0
2016	학력별	대학원 이상	53	25.3	20.5	0.8	0.4	-
2016	주택형태	단독주택	45.9	25.9	26.2	1.4	0.6	0
2016	주택형태	아파트	46.2	27.8	23.6	1.7	0.5	0
2016	주택형태	다세대주택	48.7	26	23.2	1.2	0.8	0.1
2016	주택형태	연립/기타	44.8	24.8	28	1.3	0.9	0.1
2016	입주형태	자가	46.3	29.9	21.3	1.9	0.6	0
2016	입주형태	전세	48.4	25.7	23.8	1.4	0.6	0.1
2016	입주형태	월세/기타	44.4	23	30.7	1.1	0.7	0.1
2016	가구원수	1인	39.3	24.9	33.8	1.4	0.5	0
2016	가구원수	2인	44.1	29.8	23.5	1.8	0.8	0
2016	가구원수	3인	51.1	26.9	19.8	1.5	0.6	0.1
2016	가구원수	4인	52.6	26.1	19.2	1.5	0.7	0
2016	가구원수	5인 이상	54.3	22.1	22.2	0.9	0.5	0
2016	소득	100 만원 미만	33.3	28.1	37.1	0.5	0.9	-
2016	소득	100-200만 미만	34.9	34.5	28.2	1.7	0.7	-
2016	소득	200-300만 미만	44.9	25.2	27.9	1.3	0.7	-
2016	소득	300-400만 미만	46.6	24.7	26.5	1.6	0.5	0
2016	소득	400-500만 미만	49.8	24.5	23.4	1.4	0.9	-
2016	소득	500만원 이상	49.6	27.2	21.1	1.6	0.4	0.1
2016	지역대분류	도심권	44.3	25.1	28.7	1.3	0.4	0.2
2016	지역대분류	동북권	45.6	27	25.3	1.6	0.5	-
2016	지역대분류	서북권	47.5	27.1	23.8	1.5	0.1	-
2016	지역대분류	서남권	45.7	29	22.9	1.5	0.8	0
2016	지역대분류	동남권	48	22.4	27	1.5	1	0.1
2016	종로구	종로구	52.2	17	27.7	2.4	-	0.6
2016	중구	중구	44.1	23.9	30.9	0.4	0.7	-
2016	용산구	용산구	38.9	31.4	28.2	1	0.5	-
2016	성동구	성동구	45.3	28	24.9	1.8	0.1	-
2016	광진구	광진구	47.8	25	26	0.7	0.4	-
2016	동대문구	동대문구	44.3	20.1	33.2	2.3	-	-
2016	중랑구	중랑구	42.6	22.7	29.6	3.5	1.6	-
2016	성북구	성북구	50	26.9	22.1	0.8	0.1	-
2016	강북구	강북구	40	38.8	18.1	1.8	1.3	-
2016	도봉구	도봉구	41.8	33.3	24.5	0.3	0.1	-
2016	노원구	노원구	49.5	24.9	23.9	1.5	0.1	-
2016	은평구	은평구	50.8	25.2	23	0.7	0.4	-
2016	서대문구	서대문구	45.4	31	20.8	2.8	-	-
2016	마포구	마포구	45.2	26.3	27.1	1.4	-	-
2016	양천구	양천구	40.9	41	16.5	0.5	1	-
2016	강서구	강서구	45.1	27.5	23.4	2.4	1.6	-
2016	구로구	구로구	44.9	34.5	19.5	0.8	0.3	-
2016	금천구	금천구	41.4	31	23.6	1.6	2.2	0.2
2016	영등포구	영등포구	47.9	28.1	23.8	0.2	-	-
2016	동작구	동작구	47.7	19.8	31.7	0.7	0.1	-
2016	관악구	관악구	49.3	24.2	22.7	3.1	0.6	0.1
2016	서초구	서초구	45.9	21.1	31.5	1.5	-	-
2016	강남구	강남구	50	20.1	27.6	0.8	1.5	-
2016	송파구	송파구	46.8	24.5	26.6	0.7	1.4	-
2016	강동구	강동구	49.2	23.8	22.3	3.3	0.8	0.6
